time	case	agent	idea	before	after	status	lesson
2026-09-18T11:40	survival	worker	Face-the-predator vigilance with short-term predator memory (survival-r1-2)	896.6	922.7 se 47.1	discard	r the starve deaths without giving back the predator-death win. Committed on branch survival-r1-2 (git worktree at /home/claude/nac/.claude/worktrees/wf_0333ed3f-d37-4, now on branch survival-r1-2); not merged into main.
2026-09-18T11:55	survival	orchestrator	v1 served over direct TCP (serve pod, Stockholm)	640 (proxy)	1185.6 (validation)	keep	latency was capping score; TCP removes the 600 s wait abort
2026-09-18T12:30	survival	scribe-r1	Trait-selective breeding + earlier reproduction threshold (survival-food-r1-1)	916.6	1026.5 se40.8 (train); holdout 973.8 se32.9 vs baseline 936.2	audit-fail	train gain (+109.9) shrank to +37.6 on holdout (z~0.8, within noise, needs ~66-95); not merged. Fingerprints/diff clean, no cheating found.
2026-09-18T12:30	survival	scribe-r1	Shared dead-reckoned tree map with need-based assignment (survival-food-r1-2)	902.7	457.1 se78.4	discard	border-only drift correction never converges for agents that stay central, corrupting the absolute tree map and roughly doubling starve deaths (809 vs 386); relative/egocentric bearing memory suggested as follow-up.
2026-09-18T10:44	survival	scribe-r2	Egocentric ripeness-aware harvesting with hivemind contention guard (survival-food-r2-1)	898.0	966.5 se52.4	discard	+68.5 over same-run v1 (z~0.9), not significant; same mechanism as r1-2 fruit-ripen idea, tighter match_tol + unknown-age bootstrap + lowest-energy-wins contention improved the delta but still within run-to-run v1 noise (900-940); needs more seeds or holdout before merge.
2026-09-18T10:44	survival	scribe-r2	Egocentric need-based fruit claiming with newborn priority (survival-food-r2-2)	900.2	973.2 se34.1	discard	+73.0 over same-run v1 (z~1.5), starve deaths -15% (371->315) is the real signal but not individually conclusive; audit found no candidate beat best by >2se so nothing merged this round; ready for holdout check.
2026-09-18T11:45	survival	evolve	[A predator, g1-1] full guard relay (evolve_g1_1_guard)	910.4	962.9 se 51.7	discard	+52 vs same-run v1, below +70 bar; starve deaths +260 (652) - predator guard costs foraging time
2026-09-18T11:45	survival	evolve	[B need-based, g1-1] bneed_g1_1 claiming variant	894.5	905.6 se 48.1	discard	only +11 vs v1, below food_r2_2 (985.6) and food_r1_1 (1026.8) same run; variant lost the r2_2 starve gain
2026-09-18T11:45	survival	evolve	[C demography, g1-1] food_r1_1 + shared SenescenceDetector (branch survival-evolve-g1-3)	1016.2	961.1 se 42.7	discard	-55 vs food_r1_1 same run; senescence-driven behaviour hurts, keep food_r1_1 as C champion
2026-09-18T11:45	survival	evolve	[D role specialization, g1-3] drole_g1_3 elder sentinels on food_r1_1	1038.2	1033.9 se 54.2	discard	-4.4 se47.9 paired vs food_r1_1 (7/16 wins); roles neutral, no predator-death gain
2026-09-18T14:21	survival	evolve	[A predator evasion, g2-1] apred_g2_1 facing on food_r1_1 (survival-evolve-g2-1)	1026.2	956.2 se 58.0	discard	-70.1 se70.4 paired vs food_r1_1 (6/16); facing kept foraging (starve -16%) but predator deaths rose
2026-09-18T14:21	survival	evolve	[C demography, g2-1] linear herd-cap surge 12->cap_hi t150-450, well-fed parents only (survival-evolve-g2-2)	1016.4	943.0 se 54.4	discard	both arms lost to food_r1_1; late herd surge hurts
2026-09-18T14:21	survival	evolve	[T-behaviour, g2-1] tb_g2_1 = r1_3 + cap_min 4, rebuild mode, cohort insurance (survival-evolve-g2-3)	944.6	987.8 se 75.8	discard	+43 over r1_3 but within noise (se 75.8), still below food_r1_1
2026-09-18T14:21	survival	evolve	[T-food, g2-3] food_r2_2 + late-game tree parking (survival-evolve-g2-4)	1007.5	986.1 se 36.1	discard	parking near recently fruiting trees after T_late does not help
2026-09-18T12:46	survival	fast-lane	[F fast, r1-2] f2a_sprint90 on food_r1_1 (survival-fast-r1-2)	1038.2	1069.0 se 42.2	discard	+30.8 within noise (se~62, need >124.6 for 2se); base re-baseline same run 1038.2 se45.9 (v1 877.7 se31.3); sprint90 tweak not distinguishable from base
2026-09-18T16:07	survival	evolve	[T-params, g3-1] Box-Behnken early_repro_age/spawn_energy_old/max_herd + early fitness gate on food_r1_1 (survival-evolve-g3-1)	1008.2	911.6 se 55.7	discard	constant tweaks around food_r1_1 lose; its constants look near a local optimum
