time	case	agent	idea	before	after	status	lesson
2026-09-18T09:55	medical	medical-bringup-1	LLM answerer Qwen3.8-27B-AWQ-INT4 (think=0, bias 1.2) on turbo transcripts, 31 convs	0.555 (heuristic, turbo, 39 convs)	dev 0.744 test 0.795 all 0.768 (acc 0.997, tIoU 0.616); 6.6 s/conv QA	keep	accuracy is saturated (99.7%); remaining loss is span tIoU (0.62 vs 0.90 perfect-quote oracle)
2026-09-18T10:05	medical	medical-bringup-1	LLM answerer Qwen3.5-35B-A3B-GPTQ-Int4 (MoE) think=0 bias 1.2, turbo tx, 31 convs	all 0.768 (27B AWQ)	dev 0.756 test 0.786 all 0.770 (acc 0.990, tIoU 0.623); 1.4 s/conv QA	keep	tied with 27B dense but 4.7x faster -> chosen shared model; time budget now free for think/multi-pass
2026-09-18T10:12	medical	medical-bringup-1	e2e server.py + upstream local_evaluator (GPU shared with drone)	-	0.324 (ASR CUDA OOM -> all-yes fallback)	crash	shared GPU: whisper OOMs when drone grabs memory; need retry + CPU fallback
2026-09-18T10:21	medical	medical-bringup-1	e2e after ASR reload/retry + CPU small.en fallback	0.324	0.768 (acc 0.994, tIoU 0.618), 13.2 s mean / 25.7 s worst	keep	e2e matches offline; latency fine (43% of 60 s budget at worst)
2026-09-18T10:28	medical	medical-bringup-1	portal validation (35B-A3B, turbo, bias 1.2) uuid e670a3dc247540f88b0152d105acd4ba	-	0.7152 (19 validation convs, 0 errors, max ASR 15 s)	keep	first portal number; validation ~0.05 below local 0.768
2026-09-18T13:37	medical	evolve	[A llm-quote] zoomed word-id START/END span selection (medical-evolve-g1-1)	0.7734	0.7483+-0.017	discard	word-id spans lose to verbatim quote spans in every arm
2026-09-18T13:37	medical	evolve	[D metric-aware] MBR over K sampled quotes (medical-evolve-g1-2)	0.7672	0.7683+-0.0037	discard	MBR averaging gives ~+0.001, sampling adds no location consensus
2026-09-18T13:37	medical	evolve	[B timing] pause-based retime replay (medical-evolve-g1-3)	0.7672	0.7688+-0.0022	discard	pause retime < 2 se on test; global +0.2 s shift stays
2026-09-18T12:02	medical	fast-lane	medical-fast-r1-2 fl2-3 (main+medical-r1-1@a51e253 merged, ledger rows concatenated)	0.7663	0.7886+-0.0121	discard	diff 0.0223 < 2se (0.0242); pooled offline_eval.py gain not significant, no handoff
2026-09-18T14:02	medical	evolve	[T-llm] merge bringup-1 + r1-1 (+0.2 s start shift) + per-request log (medical-evolve-g2-1), offline same-run paired vs shift 0	0.7646 (dev 0.7501 / test 0.7813)	0.7801 (dev 0.7632 / test 0.7995); paired dev +0.0136+-0.0063, test +0.0148+-0.0054	keep	+0.2 s shift passes >2 se on both halves in a fresh same-run comparison
2026-09-18T14:02	medical	evolve	[T-llm] e2e upstream local_evaluator on pod (conc 1, 31 convs) + conc 2 on 10 convs (conc_eval.py)	0.768 e2e (bringup-1)	0.774 e2e (acc 0.990, tIoU 0.630), 8.5 s mean / 21.7 s worst, 0 heur; conc2 10 convs 0.733 vs 0.739 offline same 10, p95 20.7 s, 0 heur	keep	concurrency 2 costs latency (ASR lock) but no fallbacks; not a score driver
2026-09-18T14:02	medical	evolve	[T-llm] REDEPLOY :9054 from medical-evolve-g2-1 + portal validation #2 uuid a6be89937c6742dc9da4af87f8ce2958	0.7152 (portal #1)	0.7207 (19 convs, 0 errors); server log: 190/190 LLM answers, 0 heuristic, 0 CPU-ASR, sequential (inflight 1), p95 8.3 s / max 8.8 s	keep	portal gap vs local (0.721 vs 0.774) is NOT timeouts/fallbacks/concurrency: it is the conversation set (distribution / 19-conv noise)
2026-09-18T14:06	medical	evolve	[T-llm] production sync medical-evolve-g2-1 (bringup-1 + r1-1 +0.2s shift)	0.7646	0.7801+-0.017	keep	merged into main as production sync; paired dev +0.0136+-0.0063 test +0.0148+-0.0054
2026-09-18T14:06	medical	evolve	[A llm-quote] LOCO TF-IDF few-shot gold-quote demos (medical-evolve-g2-2)	0.774	0.779+-0.013	discard	retrieval few-shot gives +0.005, below 2 se
2026-09-18T14:06	medical	evolve	[C span-scorer] learned span selector with bge features (medical-evolve-g2-3)	0.7672	0.7672+-0.0118	discard	no selector variant beat greedy; choosing among the pool is still unsolved
2026-09-18T16:00	medical	evolve	[A llm-quote] full-clause quote confirmation (medical-evolve-g3-1)	0.7713	0.7827+-0.0101	discard	full-clause 1.96se fast-lane gain did not confirm; null
2026-09-18T16:00	medical	evolve	[T-llm] 3-arm interleaved paired run incl. full-clause (medical-evolve-g3-2)	0.7715	0.7838+-0.0101	discard	deploy gate not passed; no redeploy, validation #3 not run
2026-09-18T16:00	medical	evolve	[C span-scorer] pre-registered selector replication (medical-evolve-g3-3)	0.7725	0.7745+-0.0065	discard	g2-3 selector gain vanished on fresh samples; selector unsolved
