time	case	agent	idea	before	after	status	lesson
2026-09-18T10:09:05Z	drone	lead-r1	baseline det_eval.py (frozen, branch drone) q1_best.pt frames 4 12 (20 absent in worker data) on gpu2	-	L0 1.000 L1 1.000 L2 0.972 (mean 0.991)	audit	det_eval is saturated (holdout frames share the 16 instances+background with training cut-outs) while platform validation is 0.089: it cannot rank detectors; need an unseen-background, leave-block-out scorer
2026-09-18T12:16:37Z	drone	fast-lane	FL-r1-A / A3 (size prior + cap k=1 on SAFER, drone/variants.py applied after tracker.outputs/report_score)	0.564	0.576+-0.127	discard	4 variants scored together in one no-harm gate (gate_fastr1a.py, base+4 vs SAFER helsi); gain 0.012 << 2se(0.127), no variant clears noise
2026-09-18T12:16:37Z	drone	fast-lane	B2 (Track.CONFIRM_HITS 2->3, env DRONE_CONFIRM_HITS=3, on SAFER)	0.519	0.543+-0.06	discard	base+B1-B4 in one shared gpu3 run, same v2 weights/recorded views; gain 0.024 < 2se(0.12); VERIFY_W=0.1 not re-swept, so not a clean confirm
2026-09-18T12:46:35Z	drone	fast-lane	FL-r2-A / A3 (DRONE_IMGSZ 1536 @ L0 only, on SAFER v2; 4 detector-knob variants+base via optional kwargs on YoloDetector, drone/detector.py, defaults/build_detector()/production untouched)	0.9453	0.9487+-0.0024	discard	gain 0.0034 << 2se(0.0048), no variant clears noise; imgsz bump at L0 not worth the cost
2026-09-18T12:46:35Z	drone	fast-lane	FL-r2-B / B3 (DRONE_MISS_W=3.0 + DRONE_CONFIRM_HITS=3 stacked on r1-B2 SAFER; 3 new env tracker-trust knobs on drone/tracker.py incl. DRONE_LW0 as Track class attr)	0.471	0.517+-0.041	discard	gain 0.046 < 2se(0.082); stacking r1-B2 knobs with miss-weight/confirm-hits tweak still within noise
2026-09-18T10:55Z	drone	drone-bringup-1	deploy YOLO11s v2 (synthetic 9.7k views, imgsz 1280) weights /workspace/drone_weights/v2.pt on live server (port 22)	local 0.785 offline(q1 ref n/a) / validation 0.089 (q1)	local offline 0.785, realtime 0.571; validation 0.0941; p50 74 ms/frame	keep	local helsinki score is meaningless (training cut-outs share instances); validation flight is a different city: FP flood on urban clutter (mine_roller/small_plane on cars), real objects missed at L1, hangar+medium_launcher AP 0 even locally
2026-09-18T11:16Z	drone	drone-main-r1-2	SAFER: confirmation-tiered scores (unconfirmed x0.15; confirmed = hits>=2 or L2 conf>=0.5), noisy-OR x hit-ratio score, L2 verify bonus 0.1, cap 100/frame	validation base 0.1008 (same relay route, same hour)	validation 0.1317; oracle offline 0.761 vs 0.796 (VW=0: 0.792); v2 local offline 0.779 vs 0.785, realtime 3x mean 0.487 vs 0.525 (noise +-0.06)	keep	persistence-ranked precision helps on the unseen city (+0.03 validation, single run each) while local Helsinki/oracle cannot see it (recall-limited); planner verify bonus >=0.5 hurts coverage in oracle
2026-09-18T12:45Z	drone	I4Foundati-g1-1	DINOv2-S/14 prototype verifier on v2 L1/L2 boxes (conf .05): keep YOLO class, conf=conf^.5*p_proto(class)^.5 (T=.03), drop if p_bg>.5; bank = 6464 Helsinki cut-out prototypes on Helsinki/LoveDA bg + 2461 bg (LoveDA/Helsinki FPs + random Helsinki); env DRONE_VERIFY=/workspace/i4/bankAll.pt; gpu3 direct TCP 194.68.245.208:22080/22081	validation same pod: v2 0.108 0.099; SAFER(drone-main-r1-2) 0.104 0.104; val-tiles miniAP 0.522; local offline 0.785	validation: v2+verify 0.128 0.160 0.118; SAFER+verify 0.171 0.129 (all 9 runs 12:17-12:45Z; verify mean 0.141 vs 0.104, +0.037, se~0.010); miniAP 0.715 (15/15 TP kept); eval_verify comp A/B 0.753/0.675 vs 0.753/0.672; local offline 0.766 rt 0.536/0.569 vs 0.566/0.558; det +10 ms p50	keep (handoff, not audited)	foundation-feature verification works as a re-scorer, not as a classifier: prototype argmax class is worse than YOLO (68-81% vs 73-100%) but p(YOLO class) demotes roof/car mine_roller from .83 to <.12; a bg bank built from other validation-city runs deletes the real assets (0-3/15 TP kept) - never bank target-city views; local helsinki drops 0.02 (in-distribution for YOLO)
2026-09-18T12:59:30Z	drone	evolve	I1 Synthetic YOLO g1-2: LoVeDA background-only hard negatives (drone/mine_hardneg.py, branch drone-evolve-g1-1)	0.0941	0.0895+-0.001	discard	Removing FPs on proxies did not carry over to the new-city validation; synthetic negatives don't fix domain shift
2026-09-18T12:59:30Z	drone	evolve	I3 Target-domain g1-3: temporal re-scorer (branch drone-evolve-g1-2)	0.730	0.729+-0.02	discard	Only a helsinki offline no-harm check (no FP flood there), no platform number; needs validation before it can count
